P0A6Z0	Q53XT4	4807281
Q8XA65	Q9UC56	7664180
P0A6Z0	Q86TL9	3985919 5722834
Q8X8Y1	Q92515	4548715
P0A6Z0	Q9UKV8	5507773
Q8XB09	Q8NDC7	4367273 9399571
Q8XE76	Q9NRY3	7694162 6769870
P63285	Q9UCD5	4239642 5447069
Q8XB09	Q13804	5803255 6163841 7287590 9399571
P0A6Z0	Q92574	7408181
P0A6F7	Q9H5D2	6022707
Q8XE41	Q9Y495	6850196
Q8X8Y1	Q9UM99	8254259
A0A0H3JH37	Q8WW75	1784095
P0A6Z0	P01024	2994776 6212839
Q8X5U9	E9PI54	3711438
P0A6F7	Q9UDH0	7814154 7226338 6022707
Q8XA65	Q96DA6	4315098
P0A6Z0	Q9Y697	3789972
Q8XB09	Q99649	5890189
Q8X8Y6	Q96IG6	8484045
P0A6Z0	Q8WW75	3938503
Q8XA65	Q99615	7392334
P0A6Z0	Q9UPA4	5340944 4009768 7679012
P0A6F7	Q9UCR6	7814154 5788889 7226338 16257478
Q8X9C2	Q9UC56	5726836
P62618	Q6NW19	5601412
Q8XA65	Q9UQM0	5054386 4515555
P0A6Z0	Q08752	2956729 4422561
A0A0H3JH37	Q9UBB1	7927077
P0A6Z0	Q9UEI7	3968373
Q8XE41	Q9UCA1	3050693 5311971 10096019
Q8XA65	P25685	4820811 6080806 5549762 6485077 6468197
Q8XB09	Q15596	5055197 4067431
Q8X9L0	Q9UCD5	2734466
P0A6Z0	Q99968	21281637
Q8XB09	Q9UQ61	8166836
Q8X8Y1	Q6LDT9	3223192
Q8XB09	Q99743	3200344
P0A6Z0	Q53X65	8927758 3826670
P0A6Z0	Q9UQM0	6017645
P0A6F7	Q5TCM3	8011160 2658641
P0A6Z0	Q9UQD6	6304983
Q8X8Y1	Q92650	7425583
Q8XA65	Q86TL9	3985919 4249161 7948449 4286133 5722834 4428491 25253355 25311840 29255456
Q8XB09	Q92794	4234874 8670353 7801277
Q8X8Y1	Q52LZ6	5320443 8387475 28223691
Q8XB09	Q99814	8233491
Q8XB09	Q7KYV3	4989154 35339471
P0A6Z0	Q9BZX1	8209680 5448104 6123696 8663088
Q8X8Y1	Q9UKV8	7489950
P10413	Q53YA2	3854018
P0A6Z0	Q6SSE9	6789874
P0A6G1	Q9NPJ1	6022707
Q8XB09	Q9Y6Q9	3488098 7868315 7812288 6200366 7565474 5762512
P0A6Z0	Q9UDF3	8395199
P0A6Z0	Q8IUZ9	6304983 8069837 7565387 9051441
P0A6F7	Q9NPJ1	6022707
P0A6Z0	P20132	4807281 7912811
Q8X9C2	Q9HAV7	8347752
P0A6G1	Q9H5D2	6022707
Q8XB09	Q9UPB1	8535959
P0A6Z0	Q6SLK1	5611423 5858854
Q8XE41	Q13904	3050693 166144 10096019
P0A6G1	Q9UCR6	7814154
A0A0H3JH37	Q9UM99	7927077
P0A6G1	Q9UDH0	7814154 6022707
